,Q,QHH,DH,D,l,l_,qE,qE_,H,qH,redQ,r,rD
0,0.0820543237155836,40.07487608249094,0.12190813423616624,0.16412982240491136,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,100000000.0,100000000.0
1,0.030037008224626464,20.790457902114532,0.0505308356212487,0.020473663157037116,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,100000000.0,1000000000.0
2,0.010976720940328508,8.583294862773982,0.019390621170794094,0.0038832926160499784,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,100000000.0,10000000000.0
3,0.10464328858382269,10.13240990904371,0.11491529416649829,0.05932942858079748,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,1000000000.0,100000000.0
4,0.030886034018197055,5.717357568706117,0.03646438885964042,0.017724282720264946,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,1000000000.0,1000000000.0
5,0.002460146590517558,4.241037050983776,0.006864586198935246,0.0015259980277288702,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,1000000000.0,10000000000.0
6,0.058473252430356296,0.6871014968925713,0.05927990876927328,0.012303893045907482,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,10000000000.0,100000000.0
7,0.07271310564874077,2.5029770770717414,0.07532856126449469,0.030529042021292106,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,10000000000.0,1000000000.0
8,0.038934563482952184,4.046132240841799,0.042991220854500134,0.0022683901276560232,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,100000000.0,10000000000.0,10000000000.0
9,0.0074119866377043405,8.17190311379612,0.01595478988554537,0.05007014916924915,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,100000000.0,100000000.0
10,0.08768941784362275,81.4557415100503,0.16943998366158344,0.029718108312485475,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,100000000.0,1000000000.0
11,0.07867719948064489,75.50101718900581,0.15408141872275807,0.012567786153582665,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,100000000.0,10000000000.0
12,0.08024319215058232,20.200212489140945,0.10062906816106826,0.072103076926872,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,1000000000.0,100000000.0
13,0.10830745815808515,57.04936592429433,0.16552097069282642,0.03670334538068143,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,1000000000.0,1000000000.0
14,0.09776328966088217,72.40253577487366,0.1699399891554186,0.015340999578100168,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,1000000000.0,10000000000.0
15,0.07129770323459746,2.4482864912560993,0.0738750639409233,0.09164985663849025,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,10000000000.0,100000000.0
16,0.10930003420598987,10.601885658204774,0.12001480241957004,0.021295667015583126,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,10000000000.0,1000000000.0
17,0.0405209392032432,9.463128182113367,0.05011752558700492,0.004695621053909995,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,1000000000.0,10000000000.0,10000000000.0
18,0.029525703119466968,25.332318715487467,0.05449170049544682,0.20547427520283162,1000.0,10000.0,100000000.0,10000000.0,100000000.0,100000.0,10000000000.0,100000000.0,100000000.0
