,compound,x,Temperature,D_comp,D_but,rho,w_mass,w_vol,D,Viscosity,E,D0,x_exact
37,ocm,12,25,0.1404968386893783,0.5581300399978797,1.58,2.39,5.394571428571429,3216.920115772381,92.8806915172486,52367.62704465405,4791470034128.69,12.143251252861443
38,ocm,12,30,0.1811148195214345,0.0556906069879256,1.5799999999999996,2.39,5.394571428571428,4395.7878526680015,70.69008928571427,52367.62704465406,4791470034128.689,12.14325125286144
39,ocm,12,40,0.115589419255456,0.3893300742765733,1.5799999999999998,2.39,5.394571428571429,8444.992445975487,37.05439017903487,52367.62704465406,4791470034128.689,12.14325125286144
40,ocm,22,15,0.0412351372756189,0.4977356845615067,1.57,4.98,11.169428571428574,1930.511659453109,149.7027714406346,52025.03010684698,5275514951246.829,22.83053429467004
41,ocm,22,20,0.1142669515403014,0.0407135167130029,1.5699999999999998,4.980000000000001,11.169428571428572,3068.6526990626726,96.08791761830123,52025.03010684698,5275514951246.829,22.83053429467004
42,ocm,22,25,0.0820045017808889,0.5704283651914978,1.5699999999999998,4.980000000000001,11.169428571428572,4212.243675306282,70.86771900853464,52025.03010684698,5275514951246.829,22.83053429467004
43,ocm,22,30,0.1266785106805732,0.2800845295374488,1.5699999999999998,4.980000000000001,11.169428571428572,5815.503957628778,52.21504267176742,52025.03010684698,5275514951246.829,22.83053429467004
44,ocm,22,40,0.072951338696229,0.3912211082498382,1.57,4.980000000000002,11.169428571428572,9592.4150954583,32.61207792207794,52025.03010684698,5275514951246.829,22.83053429467004
45,ocm,31,15,0.1737360817188248,0.3232995574099055,1.5500000000000005,7.599999999999997,16.828571428571426,2725.367853920084,105.97193663411028,47746.14564175395,1235647924812.85,31.70794357855908
46,ocm,31,20,0.0416241430333233,0.5870870461783003,1.5500000000000005,7.599999999999997,16.828571428571426,4008.3731301574735,73.39998797219515,47746.145641753945,1235647924812.85,31.70794357855908
47,ocm,31,25,0.115702993547604,0.6927555059031236,1.5500000000000005,7.599999999999997,16.828571428571426,5605.11994010089,53.22976190476191,47746.14564175395,1235647924812.85,31.70794357855908
48,ocm,31,30,0.1054577261457212,0.4436399638434022,1.5500000000000005,7.599999999999999,16.82857142857143,7504.958016210976,40.44380325362468,47746.14564175395,1235647924812.8503,31.707943578559068
49,ocm,31,40,0.1238869766035749,0.6314027633320702,1.55,7.6,16.82857142857143,12709.777906966732,24.63140968508616,47746.14564175396,1235647924812.85,31.70794357855908
50,ocm,38,15,0.0280892153802589,0.4461878689419226,1.5399999999999998,10.07,22.154,3556.7199461412324,81.15818181818182,43340.69261907823,262135768384.5234,38.72899056812695
51,ocm,38,20,0.0214845060077835,0.3763896618917656,1.5399999999999998,10.07,22.154000000000003,4880.432085949781,60.200442715586526,43340.69261907823,262135768384.52335,38.72899056812694
52,ocm,38,25,0.0496073462737181,0.3621354096701897,1.5399999999999998,10.07,22.154000000000003,6756.704869455709,44.19028489338319,43340.69261907823,262135768384.52335,38.72899056812695
53,ocm,38,30,0.08917263103295,0.5216680804364836,1.5399999999999998,10.07,22.154000000000003,9057.66865750385,33.51478067872116,43340.69261907823,262135768384.52335,38.72899056812695
54,ocm,38,40,0.1633508545314992,0.2664004635808064,1.5399999999999998,10.07,22.154,14413.04066392344,21.70323743386243,43340.69261907823,262135768384.5234,38.72899056812695
55,ocm,44,15,0.0492079419390375,0.4097475990704583,1.53,12.300000000000002,26.88428571428572,4195.056082165414,68.79068027210883,43988.45446121741,399278611360.947,44.18714953423492
56,ocm,44,20,0.0736790536903652,0.4694826077199638,1.53,12.3,26.88428571428572,5981.585545837501,49.06823529411765,43988.45446121741,399278611360.94696,44.187149534234926
57,ocm,44,25,0.0579187108444647,0.4605886432199218,1.53,12.300000000000002,26.88428571428572,7980.262987918128,37.4089538505583,43988.45446121741,399278611360.94696,44.18714953423492
58,ocm,44,30,0.0994879222702837,0.420132465824093,1.5300000000000005,12.300000000000002,26.884285714285728,10660.18365200573,28.46715219421102,43988.45446121741,399278611360.947,44.18714953423492
59,ocm,44,40,0.1493621040285484,0.5699783536263252,1.5300000000000002,12.300000000000002,26.884285714285724,17266.196479524704,18.115384615384613,43988.4544612174,399278611360.94696,44.187149534234926
