,x,Temperature,rho,w_mass,w_vol,D,Viscosity,E,D0,compound
0,100.0,14,0.6999999999999998,100.0,100.0,78341.56314250013,3.6656609195402305,19660.651840746676,294247430.08677375,butanol
1,100.0,16,0.6999999999999998,100.0,100.0,82121.95924564912,3.5215000000000005,19660.651840746676,294247430.08677375,butanol
2,100.0,18,0.6999999999999998,100.0,100.0,86724.28155334618,3.3584999999999994,19660.651840746676,294247430.08677375,butanol
3,100.0,20,0.6999999999999998,100.0,100.0,90518.90921217998,3.2413333333333325,19660.651840746676,294247430.08677375,butanol
4,100.0,22,0.6999999999999998,100.0,100.0,97105.24946877312,3.0399642857142863,19660.651840746676,294247430.08677375,butanol
5,100.0,24,0.6999999999999998,100.0,100.0,102855.69138261097,2.889739898989899,19660.651840746676,294247430.08677375,butanol
6,100.0,26,0.6999999999999998,100.0,100.0,108551.26088834635,2.756187499999999,19660.651840746676,294247430.08677375,butanol
7,100.0,28,0.6999999999999998,100.0,100.0,114437.68015224056,2.6320346320346317,19660.651840746676,294247430.08677375,butanol
8,100.0,30,0.6999999999999998,100.0,100.0,120714.74912612267,2.5116666666666667,19660.651840746676,294247430.08677375,butanol
9,100.0,32,0.6999999999999998,100.0,100.0,127532.55879236304,2.3935195416898205,19660.651840746676,294247430.08677375,butanol
10,100.0,34,0.6999999999999998,100.0,100.0,133775.0487801349,2.2968421052631576,19660.651840746676,294247430.08677375,butanol
11,100.0,36,0.6999999999999998,100.0,100.0,139862.79431543004,2.2100427350427347,19660.651840746676,294247430.08677375,butanol
12,100.0,38,0.7,100.0,100.0,146318.46281069727,2.1274479638009054,19660.651840746672,294247430.08677375,butanol
13,100.0,40,0.6999999999999998,100.0,100.0,153901.19006472308,2.0349999999999997,19660.651840746676,294247430.08677375,butanol
14,0.0,14,1.07,0.0,0.0,52280.67020993919,5.501403985507245,21140.811668630926,364703912.3888001,dmag
15,0.0,16,1.07,0.0,0.0,54563.62221037637,5.301220695970696,21140.81166863093,364703912.38879997,dmag
16,0.0,18,1.07,0.0,0.0,58408.38422510478,4.98640625,21140.81166863093,364703912.38879997,dmag
17,0.0,20,1.07,0.0,0.0,62497.202604691345,4.692648490226129,21140.81166863093,364703912.38879997,dmag
18,0.0,22,1.07,0.0,0.0,66522.2974241227,4.438421052631578,21140.81166863093,364703912.38879997,dmag
19,0.0,24,1.07,0.0,0.0,70653.62649611324,4.207473818646233,21140.81166863093,364703912.38879997,dmag
20,0.0,26,1.07,0.0,0.0,74536.34131013633,4.014209134615386,21140.81166863093,364703912.38879997,dmag
21,0.0,28,1.07,0.0,0.0,78789.20861698188,3.8223623188405798,21140.811668630926,364703912.38879997,dmag
22,0.0,30,1.07,0.0,0.0,83429.77671986468,3.6344067728442733,21140.81166863093,364703912.3888,dmag
23,0.0,32,1.07,0.0,0.0,87936.62468376651,3.471978151260504,21140.81166863093,364703912.3888,dmag
24,0.0,34,1.07,0.0,0.0,92549.41933840075,3.3199999999999994,21140.81166863093,364703912.38879997,dmag
25,0.0,36,1.07,0.0,0.0,96781.74313011608,3.1955096153846148,21140.81166863093,364703912.38879997,dmag
26,0.0,38,1.07,0.0,0.0,101077.0840346654,3.0797596153846154,21140.81166863093,364703912.3888,dmag
27,0.0,40,1.07,0.0,0.0,105887.60003105203,2.9532692307692305,21140.811668630926,364703912.3888001,dmag
28,11.990940175206527,14,1.07,4.85,7.41357142857143,61667.87900188322,4.665,20010.594808262063,259880180.9695961,dmag
29,11.990940175206529,16,1.07,4.849999999999999,7.413571428571428,62524.75001254425,4.6257142857142854,20010.594808262067,259880180.96959606,dmag
30,11.990940175206529,18,1.07,4.849999999999999,7.413571428571428,66266.07879537776,4.395039682539682,20010.594808262067,259880180.96959606,dmag
31,11.990940175206529,20,1.07,4.849999999999999,7.413571428571428,70566.21456223335,4.155712284913966,20010.594808262063,259880180.96959606,dmag
32,11.990940175206529,22,1.07,4.849999999999999,7.413571428571428,74976.01554627874,3.9372601190476204,20010.594808262063,259880180.96959606,dmag
33,11.990940175206529,24,1.07,4.849999999999999,7.413571428571428,79172.69640543801,3.7542857142857144,20010.594808262063,259880180.96959606,dmag
34,11.990940175206529,26,1.07,4.849999999999999,7.413571428571428,83897.58397297977,3.566499999999999,20010.594808262067,259880180.96959606,dmag
35,11.990940175206529,28,1.07,4.849999999999999,7.413571428571428,88220.7979020876,3.41472582972583,20010.594808262063,259880180.96959606,dmag
36,11.990940175206529,30,1.07,4.849999999999999,7.413571428571428,93004.40832706528,3.260051020408164,20010.594808262067,259880180.96959606,dmag
37,11.990940175206527,32,1.07,4.849999999999999,7.413571428571428,96844.5342363902,3.1551915220868705,20010.594808262063,259880180.96959606,dmag
38,11.990940175206529,34,1.07,4.849999999999999,7.413571428571428,102539.16500016103,2.9961388888888885,20010.594808262067,259880180.96959606,dmag
39,11.990940175206529,36,1.07,4.849999999999999,7.413571428571428,107847.89939499277,2.867,20010.594808262067,259880180.96959606,dmag
40,11.990940175206529,38,1.07,4.849999999999999,7.413571428571428,112873.14436435298,2.7571428571428576,20010.594808262067,259880180.96959606,dmag
41,11.990940175206529,40,1.07,4.85,7.413571428571429,117656.54669918944,2.659333333333334,20010.594808262067,259880180.969596,dmag
42,22.36703749599699,14,1.05,9.73,14.595000000000004,71276.08394848116,4.039999999999998,19107.247195441036,207726214.04821512,dmag
43,22.367037495996993,16,1.0500000000000003,9.729999999999999,14.595000000000008,72916.52200663822,3.9664424792011,19107.247195441036,207726214.04821506,dmag
